id,source,steward,name,trlsurface,length,accessible,roadbike,hike,mtnbike,equestrian,xcntryski,conditions,dogs,map_url,description
GY3,MPSSC,MPSSC,Alder Trail,natural,1.4,n,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GoodyearHeightsMetroPark-2013.pdf,"Alder Trail leads through the woods to Alder Pond, where a cattail marsh provides good wildlife habitat. At the start of the trail, a short (half-mile, round trip) section earns Class B status and is good for users with wheelchairs, walkers, canes and strollers."
HH1,MPSSC,MPSSC,Adam Run Trail,natural,3.2,y,n,y,n,n,y,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/HamptonHillsMetroPark-2013.pdf,One of the park district's most demanding hikes; forms a sort of figure eight with Spring Hollow Trail. Travels through ravines and over streams.
HH2,MPSSC,MPSSC,Spring Hollow Trail,natural,1.6,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/HamptonHillsMetroPark-2013.pdf,One of the park district's most demanding hikes; forms a sort of figure eight with Adam Run Trail. Travels through ravines and over streams and includes a 30-foot bridge.
LP1,MPSSC,MPSSC,Sugarbush Trail,natural,0.6,y,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/LibertyPark-2013.pdf,"Sugarbush Trail loops through the city-run recreation area. The distance measured does not include the walk around the ballfield to the trailhead. For more information, please call the city of Twinsburg's Parks & Recreation Department at 330-963-8722."
LP2,MPSSC,MPSSC,Buttonbush Trail,natural,1.6,n,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/LibertyPark-2013.pdf,"Located in the conservation area, the trail follows an old service road, where vehicles once traveled to and from oil wells, last used in 2003. Today, you'll walk between two large buttonbush swamps. The trail's namesake, the buttonbush, is a flowering shrub that grows in shallow water about one to two feet deep."
LP3,MPSSC,MPSSC,Ledges Trail,natural,1.1,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/LibertyPark-2013.pdf,"Visitors pass by a unique system of sandstone ledges, into Glacier Cave and to a wetland before traveling back to the trailhead over a long boardwalk. The ledges are covered by a ""living skin."" Ferns, mosses and lichens grow here, and endangered bats and other species live in the area. For the protection of natural resources, please stay on the trail."
LP4,MPSSC,Twinsburg,Liberty Bike Trail,limestone,1.8,y,n,y,n,n,y,Accessible and dogs allowed,y,http://www.mytwinsburg.com/assets/attachments/file/Liberty%20South%20Trails.pdf,Multi-purpose trail from the naturalist house at the south end of Liberty Park north to the Ledges Area of the park.
LP5,MPSSC,Twinsburg,Prairie Trail,natural,1.6,n,n,y,n,n,n,Dogs allowed in the lake area only.,y,http://www.mytwinsburg.com/assets/attachments/file/Liberty%20South%20Trails.pdf,
MF1,MPSSC,MPSSC,Indian Spring Trail,natural,2.2,n,n,y,n,n,y,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/MunroeFallsMetroPark-2013.pdf,"Inside the Lake Area, Indian Spring Trail loops through two types of forests and near wetlands, ponds, a stream and the trail's namesake, an old spring."
MF2,MPSSC,MPSSC,Meadow Loop Trail,asphalt,0.35,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/MunroeFallsMetroPark-2013.pdf,"The short Meadow Loop is a flat, easy trail in the Tallmadge Meadows Area that can be enjoyed by users with wheelchairs, walkers, canes and strollers."
MF3,MPSSC,MPSSC,Meadow Trail,natural,2,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/MunroeFallsMetroPark-2013.pdf,"From the parking lot of the Tallmadge Meadows Area, the Meadow Trail passes by the County Home cemetery and travels through woods, a shrub thicket, wetland woods and its namesake meadow. Several boardwalks help visitors traverse the wet areas."
MF4,MPSSC,MPSSC,Weaver School Connector Trail,natural,0.41,y,n,y,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/MunroeFallsMetroPark-2013.pdf,Connector trail from Tallmadge Meadows Area of Munroe Falls Metro Park to Weaver School.
MF5,MPSSC,MPSSC,Neighborhood Connector,asphalt,0.12,y,y,y,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/MunroeFallsMetroPark-2013.pdf,Neighborhood Connector Trail to connect Tallmadge Meadows to neighborhoods west of Darrow Road (SR 91).  
MF6,MPSSC,MPSSC,Nursing Home Connector,asphalt,0.15,y,n,y,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/MunroeFallsMetroPark-2013.pdf,Nursing Home Connector Trail connects Tallmadge Meadows to the nursing home to the north for visitors.
NR1,MPSSC,MPSSC,Seneca Trail,natural,1.4,y,n,y,n,n,y,Dogs allowed in the lake area only.,n,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FASeiberlingNatureRealm-2013b.pdf,"Seneca Trail is a partly unpaved loop leading visitors past pines, a deciduous forest and through an open prairie. Portions of the trail may be considered strenuous due to hilly terrain."
NR2,MPSSC,MPSSC,Rock & Herb Garden,pavers,0.3,y,n,y,n,n,n,,n,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FASeiberlingNatureRealm-2013b.pdf,
NR3,MPSSC,MPSSC,Cherry Lane Trail,asphalt,0.6,y,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",n,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FASeiberlingNatureRealm-2013b.pdf,"Cherry Lane Trail is an easy-to-travel loop that connects to Fernwood Trail at a 110-foot-long suspension bridge, taking visitors across a 45-foot-deep ravine."
NR4,MPSSC,MPSSC,Fernwood Trail,natural,0.5,y,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",n,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FASeiberlingNatureRealm-2013b.pdf,"Fernwood Trail is an easy-to-travel loop that connects to Cherry Lane Trail at a 110-foot-long suspension bridge, taking visitors across a 45-foot-deep ravine."
NR5,MPSSC,MPSSC,Nature Realm Trails,asphalt,,y,n,y,n,n,n,,n,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FASeiberlingNatureRealm-2013b.pdf,
OW1,MPSSC,MPSSC,Deer Run Trail,natural,1.8,y,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/ONeilWoodsMetroPark-2013.pdf,"The challenging, and aptly-named, Deer Run Trail follows a path worn by white-tailed deer and provides scenic views of the Cuyahoga River Valley. How many steps do you count on the hike back to the top?"
OW2,MPSSC,MPSSC,Buckeye Trail,natural,1.2,n,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf,"This statewide trail circles from the Ohio River (near Cincinnati) to Lake Erie (near Mentor), west to Toledo and then back to the Ohio River. Here in Summit County, the trail passes through Deep Lock Quarry, O'Neil Woods, Sand Run and Cuyahoga Valley National Park. ""Follow the blue blazes"" for the Buckeye Trail."
RR1,MPSSC,MPSSC,Valley Bridle Trail,natural,0.88,n,n,y,n,y,n,,y,http://www.nps.gov/cuva/planyourvisit/upload/RidingRun_WEB2009.pdf,
RR2,MPSSC,MPSSC,Perkins Trail,natural,2.75,n,n,y,n,y,n,,y,http://www.nps.gov/cuva/planyourvisit/upload/RidingRun_WEB2009.pdf,
RR3,MPSSC,MPSSC,Riding Run Trail,natural,4,n,n,y,n,y,n,,y,http://www.nps.gov/cuva/planyourvisit/upload/RidingRun_WEB2009.pdf,
SB1,MPSSC,MPSSC,Prairie Trail,natural,1.6,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SpringfieldBogMetroPark-2013.pdf,"Though the prairie will take years to fully develop, the easy Prairie Trail leads visitors from the parking lot into what could become a birding hotspot in just a few years."
SC1,MPSSC,MPSSC,Pheasant Run Trail,natural,1.2,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SilverCreekMetroPark-2013.pdf,Pheasant Run Trail winds through fields and woods and around small ponds.
SC2,MPSSC,MPSSC,Chippewa Trail,natural,2,n,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SilverCreekMetroPark-2013.pdf,"Along Chippewa Trail, mature trees have grown from thousands of seedlings planted by Girl Scout troops between 1967 and 1983."
SC3,MPSSC,MPSSC,Bridle Trail,natural,7.9,y,n,y,n,y,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SilverCreekMetroPark-2013.pdf,"The Bridle Trail at Silver Creek is the only horseback trail managed by Metro Parks, Serving Summit County."
SR1,MPSSC,MPSSC,Jogging Trail,limestone,6,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf,"The Parkway Jogging Trail is the most popular in the park district, averaging more than 1,000 users a day, year-round. At the start of the trail, from the Old Portage Area, a one-mile (round trip) section earns Class B status and is good for users with wheelchairs, walkers, canes and strollers."
SR2,MPSSC,MPSSC,Parcours Trail,natural,1.4,y,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf,"For a good workout, try this challenging hiking trail with numbered exercise stations."
SR3,MPSSC,MPSSC,Dogwood Trail,natural,1.8,y,n,y,n,n,y,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf,Explore shady valley and ridge-top terrain along the wooded and challenging Dogwood Trail.
SR4,MPSSC,MPSSC,Mingo Trail,natural,3.3,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf,"The wooded Mingo Trail harbors a variety of wildlife and oak, beech and tulip trees. West of Shady Hollow Pavilion, the trail becomes quite rugged, earning Class D status."
SR5,MPSSC,MPSSC,Big Bend Connector,asphalt,0.25,y,y,n,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf,
TT1,MPSSC,MPSSC,Towpath Trail,,34,y,y,y,n,n,y,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/Ohio&ErieCanalTowpathTrail-2013.pdf,
WH1,MPSSC,MPSSC,Wood Hollow Trail,natural,1.1,n,n,y,n,n,n,,y,http://www.summitmetroparks.org/ParksAndTrails/Wood-Hollow.aspx,Wood Hollow Trail travels past forests and wetlands.
WM1,MPSSC,MPSSC,Butler's Trail,natural,0.6,n,n,y,n,y,n,,y,http://www.nps.gov/cuva/planyourvisit/upload/Wetmore_WEB2009.pdf,
WM2,MPSSC,MPSSC,Wetmore Trail,natural,4.5,n,n,y,n,y,n,,y,http://www.nps.gov/cuva/planyourvisit/upload/Wetmore_WEB2009.pdf,
WM3,MPSSC,MPSSC,Tabletop Trail,natural,0.6,n,n,y,n,y,n,,y,http://www.nps.gov/cuva/planyourvisit/upload/Wetmore_WEB2009.pdf,
WM4,MPSSC,MPSSC,Dickerson Run Trail,natural,1,n,n,y,n,y,n,,y,http://www.nps.gov/cuva/planyourvisit/upload/Wetmore_WEB2009.pdf,
WM5,MPSSC,MPSSC,Langes Run Trail,natural,3.5,n,n,y,n,y,n,,y,http://www.nps.gov/cuva/planyourvisit/upload/Wetmore_WEB2009.pdf,
WM6,MPSSC,MPSSC,Valley Trail,natural,9.4,n,n,y,n,y,n, ,y,http://www.nps.gov/cuva/planyourvisit/upload/Wetmore_WEB2009.pdf,
WS1,MPSSC,NPS,Stanford Trail,natural,1.9,n,n,y,n,n,n,,y,http://www.nps.gov/cuva/planyourvisit/hiking.htm,Stanford Trail at the east end has Brandywine Falls and traveleing west goes by the youth hostel and to the Towpath Trail.
