name,steward,source,length,description,accessible,roadbike,hike,mtnbike,equestrian,xcntryski,conditions,map_url,dsgnations
Ledges Trail,CVNP,CVNP,,"Ledges Trail is popular with hikers in all seasons. The unpaved loop features dramatic sandstone cliffs and vegetation characteristic of more northern climates. This route is hilly and has steps in places. There are several connections to other trails. Watch trail signs carefully to avoid getting lost. Built in the 1930s by the Civilian Conservation Corps, Ledges Shelter can be rented for a fee. The large playfield can be used for picnics, yard games, and beginning cross-country skiing. Nearby Ledges Overlook offers a scenic view of the Cuyahoga Valley that is especially lovely at sunset. Ice Box Cave is closed to protect roosting bats from a fatal fungal disease.",,,,,,,,,
Haskell Run Trail,CVNP,CVNP,,"This short, unpaved loop trail descends a steep slope into a scenic ravine and follows a meandering stream. The cool, moist environment is perfect for water-loving plants. A variety of songbirds, amphibians, and mammals make their homes here. There is a link to the Ledge Trail and Ice Box Cave (closed for bat protection). It is a good choice for families with young children.",,,,,,,,,
Pine Grove Trail,CVNP,CVNP,,"This unpaved loop trail winds and twists through a mature beech forest as well as pines planted during a 1930s reforestation effort. In places there are steep steps. The path begins and ends at the kiosk above the tiered Octagon parking lot. Built in the 1930s by the Civilian Conservation Corps, Octagon Shelter can be rented for a fee. The large grassy playfield can be used for picnics and yard games.
",,,,,,,,,
Forest Point Trail,CVNP,CVNP,,"Enjoy the unique architecture of Octagon Shelter, built in the 1930s by the Civilian Conservation Corps.  Cross the grassy playfield behind the rental shelter to find the trailhead at the far end. The flat, unpaved trail forms a short wooded loop that is perfect for families with young children.
",,,,,,,,,
Lake Trail,CVNP,CVNP,,"The trail starts at Kendall Lake Shelter, built as a bathhouse in the 1930s by the Civilian Conservation Corps. It circles in a short, unpaved loop around Kendall Lake. Check for water-loving birds and turtles in the small coves. Beavers have chewed many trees along the shorelines. Although the path is relatively flat, there are steep stairs in places. It is a good choice for families with young children.",,,,,,,,,
Cross Country Trail,CVNP,CVNP,,"This unpaved, rolling trail was designed for intermediate cross-country skiing, but is also good for hiking. Starting at Kendall Lake parking lot, the trail curves and dips in a loop around the upper waters of Salt Run. Although the route is mostly wooded, it does open out on the Kendall Hills and provide opportunities for downhill runs. Watch for whizzing sleds. Winter hikers should yield to skiers and avoid stepping in ski tracks. When there is adequate snowfall, the Winter Sport Center at Kendall Lake Shelter offers equipment rental, cocoa, helpful tips, and a place to warm up.",,,,,,,,,
Salt Run Trail,CVNP,CVNP,,"By the large dam halfway around the Lake Trail, the unpaved Salt Run Trail branches off to the west in a figure 8. A short cut midway around the elongated loop allows for a shorter or longer hike. This hilly, wooded trail features stands of pine, oak, hickory, beech, and hemlock. Those looking for a greater challenge can combine this with the Lake and Cross Country trails.",,,,,,,,,
Old Carriage Trail,CVNP,CVNP,,"This hilly trail forms a C-shape on the eastern side of the Towpath Trail, between the Red Lock and Station Road Bridge trailheads. There is also local access from Holzhauer Road, but no parking lot. A steep, paved southern section called the Old Carriage Connector Trail links the Towpath Trail north of Red Lock with the Bike & Hike Trail via Holzhauer Road. The three scenic footbridges that cross deep, wooden ravines are closed for safety reasons. The trail is routed around them. This is a good choice for hikers and cross-country skiers looking for a workout.",,,,,,,,,
Old Carriage Connector Trail,CVNP,CVNP,,"This steep, paved southern section of the Old Carriage Trail links the Towpath Trail north of Red Lock with the Bike & Hike Trail via Holzhauer Road. It’s a shared trail for hikers and cyclists, so use caution and pass to the left using an audible signal.",,,,,,,,,
Ohio & Erie Canal Towpath Trail,CVNP,CVNP,,,,,,,,,,,
Hale Farm Trail,CVNP,CVNP,,"This firm, flat trail connects the Towpath Trail to Hale Farm & Village. It passes Indigo Lake and provides trail access to the Indigo Lake Station. At times, a shuttle carries train passengers to the living history museum. To stay safe, keep to the right. Cyclists, please pass on the left and give an audible signal.",,,,,,,,,
Howe-Hale Connector Trail,CVNP,CVNP,,"This short, unpaved trail links Howe Meadow to the Hale Farm Trail, Indigo Lake Station, and the Towpath Trail beyond. It offers scenic views of Indigo Lake, a popular spot for fishing and photography. Howe Meadow is used for special events.",,,,,,,,,
